City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
118,blackmans bay,-43.0167,147.3167,283.56,79,100,0.89,AU,1718503269
119,shingu,33.7333,135.9833,298.47,82,74,3.04,JP,1718503393
120,aberdeen,57.1437,-2.0981,284.42,96,100,4.12,GB,1718503393
121,petropavlovsk-kamchatsky,53.0452,158.6483,287.48,90,75,7.0,RU,1718503393
122,cabo san lucas,22.8909,-109.9124,300.16,80,1,3.13,MX,1718502958
123,mukalla,14.5425,49.1242,302.47,71,65,2.55,YE,1718503394
124,hovd,48.0056,91.6419,293.37,42,90,2.0,MN,1718503394
125,colonia,50.9333,6.95,288.64,70,0,3.6,DE,1718503141
126,kodiak,57.79,-152.4072,290.88,52,0,4.12,US,1718503394
127,hithadhoo,-0.6,73.0833,301.16,74,4,1.42,MV,1718503227
128,hargeysa,9.56,44.065,294.18,58,24,10.45,SO,1718503394
129,port lincoln,-34.7333,135.8667,286.49,69,11,4.33,AU,1718503394
130,maloye ganyushkino,46.6,49.2667,298.46,64,3,2.19,KZ,1718503394
131,malpica,43.3228,-8.8105,289.47,79,100,5.73,ES,1718503394
132,rumoi,43.9344,141.6428,295.61,66,100,3.86,JP,1718503394
133,hadibu,12.65,54.0333,300.66,80,92,6.91,YE,1718503394
134,nelson bay,-32.7167,152.15,289.26,60,3,1.34,AU,1718503394
135,tamuin,21.9833,-98.75,302.49,60,1,5.65,MX,1718503395
136,olavarria,-36.8927,-60.3225,283.17,65,4,1.59,AR,1718503395
137,mar del plata,-38.0023,-57.5575,285.3,71,0,2.68,AR,1718503144
138,saudarkrokur,65.7461,-19.6394,282.95,83,63,0.18,IS,1718503267
139,port elizabeth,-33.918,25.5701,284.44,98,7,1.54,ZA,1718503391
140,thompson,55.7435,-97.8558,288.24,94,75,5.66,CA,1718503149
141,ponta delgada,37.7333,-25.6667,292.55,88,40,4.12,PT,1718503210
142,santiago de cao,-7.9589,-79.2392,290.22,88,50,4.63,PE,1718503269
143,bonthe,7.5264,-12.505,298.05,90,100,3.23,SL,1718503395
144,al ghayzah,16.2079,52.176,301.45,84,0,1.42,YE,1718503395
145,portales,34.1862,-103.3344,306.89,32,68,1.2,US,1718503181
146,al lagowa,11.4,29.1333,299.94,56,90,3.68,SD,1718503395
147,nouadhibou,20.931,-17.0347,295.14,73,4,8.23,MR,1718503395
148,tenkodogo,11.78,-0.3697,301.56,59,100,1.38,BF,1718503396
149,longyearbyen,78.2186,15.6401,278.06,65,40,7.2,SJ,1718503396
150,ugoofaaru,5.6667,73.0,301.7,76,100,5.39,MV,1718503396
151,punta arenas,-53.15,-70.9167,271.21,86,40,5.66,CL,1718503099
152,vangviang,18.9333,102.45,300.8,72,100,0.64,LA,1718503236
153,sao jose da coroa grande,-8.8978,-35.1478,298.38,76,44,6.33,BR,1718503396
154,walvis bay,-22.9575,14.5053,296.68,15,0,8.23,NA,1718503396
155,saranac lake,44.3295,-74.1313,282.68,84,0,0.0,US,1718503396
156,opuwo,-18.0607,13.84,285.26,28,0,3.39,NA,1718503396
157,barra de santo antonio,-9.4047,-35.5072,298.75,71,11,5.94,BR,1718503396
158,kapa'a,22.0752,-159.319,304.14,79,10,3.58,US,1718503191
159,haiku-pauwela,20.9219,-156.3051,301.58,68,1,6.71,US,1718503297
160,ciudad lazaro cardenas,17.9583,-102.2,301.0,84,23,2.03,MX,1718503373
161,nerchinsk,51.9833,116.5833,291.73,45,88,6.28,RU,1718503397
162,san clemente del tuyu,-36.3569,-56.7235,285.66,67,76,1.12,AR,1718503198
163,avarua,-21.2078,-159.775,300.18,78,0,6.69,CK,1718503224
164,dunedin,-45.8742,170.5036,281.95,82,76,3.56,NZ,1718503282
165,vilyuchinsk,52.9306,158.4028,288.3,81,100,3.75,RU,1718503217
166,vorkuta,67.5,64.0,277.1,81,100,3.58,RU,1718503397
167,shangzhi,45.2167,127.9667,290.89,81,91,3.13,CN,1718503397
168,ilulissat,69.2167,-51.1,280.16,65,40,1.03,GL,1718503397
169,manicore,-5.8092,-61.3003,299.71,67,89,1.02,BR,1718503398
170,lompoc,34.6391,-120.4579,293.23,66,0,9.26,US,1718503253
171,verkhnevilyuysk,63.4453,120.3167,280.01,92,100,3.27,RU,1718503398
172,grand falls-windsor,48.9332,-55.6649,287.87,93,100,0.45,CA,1718503398
173,melendugno,40.2747,18.3368,291.51,60,49,0.7,IT,1718503398
174,dul'durga,50.6761,113.5931,294.85,33,100,7.83,RU,1718503398
175,nova vicosa,-17.8919,-39.3719,295.72,86,48,1.17,BR,1718503312
176,pacific grove,36.6177,-121.9166,294.38,73,0,6.69,US,1718503204
177,westport,41.1415,-73.3579,294.27,67,0,2.94,US,1718503398
178,anadyr,64.75,177.4833,286.43,58,95,7.0,RU,1718503269
179,margaret river,-33.95,115.0667,290.07,74,29,4.65,AU,1718503398
180,belmonte,-15.8631,-38.8828,296.77,79,37,3.04,BR,1718503398
181,guerrero negro,27.9769,-114.0611,291.28,80,0,7.01,MX,1718503398
182,saint-pierre,-21.3393,55.4781,294.92,94,100,2.57,RE,1718503399
